priority,domain,proxy_domain,category,subcategory,reason
75,ibio.co.uk,ibio.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
76,oxes.co.uk,oxes.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
77,qpus.co.uk,qpus.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
78,slym.co.uk,slym.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
79,srcs.co.uk,srcs.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
80,bespokevans.co.uk,bespokevans.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
81,commercialvansforsale.co.uk,commercialvansforsale.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
82,couriervans.co.uk,couriervans.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
83,hgvrental.co.uk,hgvrental.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
84,localvanhire.co.uk,localvanhire.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
85,refrigerated-trailers.co.uk,refrigerated-trailers.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
86,rentvan.co.uk,rentvan.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
87,scrapvans.co.uk,scrapvans.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
88,secondhandvansforsale.co.uk,secondhandvansforsale.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
89,tail-lift.co.uk,tail-lift.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
90,vandealership.co.uk,vandealership.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
91,webuycommercials.co.uk,webuycommercials.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
92,webuytrailers.co.uk,webuytrailers.com,automotive,commercial-vehicles,block automotive/commercial-vehicles n=27 appraised=1 deficit=2
93,inspectioncameras.co.uk,inspectioncameras.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
94,pendulumsliptesting.co.uk,pendulumsliptesting.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
95,soundcamera.co.uk,soundcamera.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
96,soundcameras.co.uk,soundcameras.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
97,textile-testing.co.uk,textile-testing.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
98,textiletesting.co.uk,textiletesting.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
99,vibration-monitoring.co.uk,vibration-monitoring.com,industrial-equipment,test-measurement,block industrial-equipment/test-measurement n=19 appraised=1 deficit=2
100,babyplaymats.co.uk,babyplaymats.com,consumer-products,kids-baby,block consumer-products/kids-baby n=12 appraised=1 deficit=2
101,rideons.co.uk,rideons.com,consumer-products,kids-baby,block consumer-products/kids-baby n=12 appraised=1 deficit=2
102,carandvanrentals.co.uk,carandvanrentals.com,automotive,leasing,block automotive/leasing n=8 appraised=1 deficit=2
103,carvanlease.co.uk,carvanlease.com,automotive,leasing,block automotive/leasing n=8 appraised=1 deficit=2
104,fire-protection.co.uk,fire-protection.com,industrial-equipment,safety,block industrial-equipment/safety n=8 appraised=1 deficit=2
105,fleetcarleasing.co.uk,fleetcarleasing.com,automotive,leasing,block automotive/leasing n=8 appraised=1 deficit=2
106,one-to-one.co.uk,one-to-one.com,generic-word,phrase,block generic-word/phrase n=8 appraised=1 deficit=2
107,safetydeckingsystems.co.uk,safetydeckingsystems.com,industrial-equipment,safety,block industrial-equipment/safety n=8 appraised=1 deficit=2
108,smokevents.co.uk,smokevents.com,industrial-equipment,safety,block industrial-equipment/safety n=8 appraised=1 deficit=2
109,goldpaint.co.uk,goldpaint.com,consumer-products,art-craft,block consumer-products/art-craft n=7 appraised=1 deficit=2
110,jewellerstools.co.uk,jewellerstools.com,consumer-products,art-craft,block consumer-products/art-craft n=7 appraised=1 deficit=2
111,stampcollection.co.uk,stampcollection.com,consumer-products,art-craft,block consumer-products/art-craft n=7 appraised=1 deficit=2
112,exhibitionbooths.co.uk,exhibitionbooths.com,events-exhibitions,displays,block events-exhibitions/displays n=6 appraised=1 deficit=2
113,gamerooms.co.uk,gamerooms.com,sports-leisure,gaming,block sports-leisure/gaming n=6 appraised=1 deficit=2
114,jewellerydisplays.co.uk,jewellerydisplays.com,events-exhibitions,displays,block events-exhibitions/displays n=6 appraised=1 deficit=2
115,onlinecrossword.co.uk,onlinecrossword.com,sports-leisure,gaming,block sports-leisure/gaming n=6 appraised=1 deficit=2
116,onlinepuzzle.co.uk,onlinepuzzle.com,sports-leisure,gaming,block sports-leisure/gaming n=6 appraised=1 deficit=2
117,pitchconstruction.co.uk,pitchconstruction.com,industrial-equipment,groundcare,block industrial-equipment/groundcare n=6 appraised=1 deficit=2
118,playground-marking.co.uk,playground-marking.com,industrial-equipment,groundcare,block industrial-equipment/groundcare n=6 appraised=1 deficit=2
119,playground-markings.co.uk,playground-markings.com,industrial-equipment,groundcare,block industrial-equipment/groundcare n=6 appraised=1 deficit=2
120,jethire.co.uk,jethire.com,aviation,charter,block aviation/charter n=5 appraised=1 deficit=2
121,outboardengines.co.uk,outboardengines.com,marine,equipment,block marine/equipment n=5 appraised=1 deficit=2
122,syntheticteakdecking.co.uk,syntheticteakdecking.com,marine,equipment,block marine/equipment n=5 appraised=1 deficit=2
123,generatorcentre.co.uk,generatorcentre.com,energy-utilities,power,block energy-utilities/power n=4 appraised=1 deficit=2
124,privatehires.co.uk,privatehires.com,transport-parking,taxi,block transport-parking/taxi n=4 appraised=1 deficit=2
125,steplifts.co.uk,steplifts.com,health-medical,mobility-aids,block health-medical/mobility-aids n=4 appraised=1 deficit=2
126,aerialdronesurveys.co.uk,aerialdronesurveys.com,property,surveys,block property/surveys n=3 appraised=1 deficit=2
127,cabinsforsale.co.uk,cabinsforsale.com,property,park-homes,block property/park-homes n=3 appraised=1 deficit=2
128,rainforests.co.uk,rainforests.com,education,nature,block education/nature n=3 appraised=1 deficit=2
129,cablelooms.co.uk,cablelooms.com,industrial-equipment,electrical,block industrial-equipment/electrical n=2 appraised=0 deficit=2
130,instantwebpages.co.uk,instantwebpages.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
131,scrappy-sites.co.uk,scrappy-sites.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
132,scrappysites.co.uk,scrappysites.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
133,scrappywebsites.co.uk,scrappywebsites.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
134,site-maps.co.uk,site-maps.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
135,siteprogressor.co.uk,siteprogressor.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
136,uniquedirectory.co.uk,uniquedirectory.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
137,webdesignagencies.co.uk,webdesignagencies.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
138,webdesignconsultants.co.uk,webdesignconsultants.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
139,webdesignexample.co.uk,webdesignexample.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
140,webdesignexamples.co.uk,webdesignexamples.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
141,webdevel.co.uk,webdevel.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
142,websitedesignaward.co.uk,websitedesignaward.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
143,websiteredesign.co.uk,websiteredesign.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
144,websitesecurity.co.uk,websitesecurity.com,web-digital,web,block web-digital/web n=69 appraised=2 deficit=1
145,campingpod.co.uk,campingpod.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
146,caravanforhire.co.uk,caravanforhire.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
147,caravanretreats.co.uk,caravanretreats.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
148,floatinglodges.co.uk,floatinglodges.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
149,lakelodges.co.uk,lakelodges.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
150,lakeviewlodges.co.uk,lakeviewlodges.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
151,offgridcabins.co.uk,offgridcabins.com,travel,accommodation,block travel/accommodation n=24 appraised=2 deficit=1
152,muscleenhancement.co.uk,muscleenhancement.com,sports-leisure,fitness,block sports-leisure/fitness n=15 appraised=2 deficit=1
153,hydrauliclifting.co.uk,hydrauliclifting.com,industrial-equipment,lifting,block industrial-equipment/lifting n=12 appraised=2 deficit=1
154,mezzaninelifts.co.uk,mezzaninelifts.com,industrial-equipment,lifting,block industrial-equipment/lifting n=12 appraised=2 deficit=1
155,passengerlifts.co.uk,passengerlifts.com,industrial-equipment,lifting,block industrial-equipment/lifting n=12 appraised=2 deficit=1
156,drillingrig.co.uk,drillingrig.com,industrial-equipment,construction-plant,block industrial-equipment/construction-plant n=10 appraised=2 deficit=1
157,hydraulicbreakers.co.uk,hydraulicbreakers.com,industrial-equipment,construction-plant,block industrial-equipment/construction-plant n=10 appraised=2 deficit=1
158,rubber-tracks.co.uk,rubber-tracks.com,industrial-equipment,construction-plant,block industrial-equipment/construction-plant n=10 appraised=2 deficit=1
159,carsafes.co.uk,carsafes.com,automotive,parts-accessories,block automotive/parts-accessories n=9 appraised=2 deficit=1
160,ancestryonline.co.uk,ancestryonline.com,misc,general,block misc/general n=8 appraised=2 deficit=1
161,diycentre.co.uk,diycentre.com,home-garden,tools-diy,block home-garden/tools-diy n=8 appraised=2 deficit=1
162,garagetools.co.uk,garagetools.com,home-garden,tools-diy,block home-garden/tools-diy n=8 appraised=2 deficit=1
163,metallichydrogen.co.uk,metallichydrogen.com,misc,general,block misc/general n=8 appraised=2 deficit=1
164,toolbelts.co.uk,toolbelts.com,home-garden,tools-diy,block home-garden/tools-diy n=8 appraised=2 deficit=1
165,omega-oils.co.uk,omega-oils.com,health-medical,supplements,block health-medical/supplements n=6 appraised=2 deficit=1
166,oilsuppliers.co.uk,oilsuppliers.com,energy-utilities,oil-gas,block energy-utilities/oil-gas n=5 appraised=2 deficit=1
167,welltesting.co.uk,welltesting.com,energy-utilities,oil-gas,block energy-utilities/oil-gas n=5 appraised=2 deficit=1
168,pleasurespot.co.uk,pleasurespot.com,consumer-products,adult,block consumer-products/adult n=2 appraised=1 deficit=1
169,arabianperfumes.co.uk,arabianperfumes.com,beauty-personal-care,fragrance,block beauty-personal-care/fragrance n=1 appraised=0 deficit=1
170,carbon-dioxide.co.uk,carbon-dioxide.com,energy-utilities,general,block energy-utilities/general n=1 appraised=0 deficit=1
171,gasrefills.co.uk,gasrefills.com,energy-utilities,gas,block energy-utilities/gas n=1 appraised=0 deficit=1
172,inshalla.co.uk,inshalla.com,foreign-language,arabic,block foreign-language/arabic n=1 appraised=0 deficit=1
173,agentchoice.co.uk,agentchoice.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
174,agentcoordinator.co.uk,agentcoordinator.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
175,agentorchestrator.co.uk,agentorchestrator.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
176,agenttower.co.uk,agenttower.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
177,ai-web-design.co.uk,ai-web-design.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
178,ai-website-design.co.uk,ai-website-design.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
179,aiproductstrategy.co.uk,aiproductstrategy.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
180,aiteammate.co.uk,aiteammate.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
181,aitwin.co.uk,aitwin.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
182,aiworkmate.co.uk,aiworkmate.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
183,automaticvans.co.uk,automaticvans.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
184,botsales.co.uk,botsales.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
185,digirep.co.uk,digirep.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
186,digitalrep.co.uk,digitalrep.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
187,digitalrepresentative.co.uk,digitalrepresentative.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
188,digitalrepresentatives.co.uk,digitalrepresentatives.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
189,easyrag.co.uk,easyrag.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
190,evalloops.co.uk,evalloops.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
191,fashionagents.co.uk,fashionagents.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
192,fundamentallyai.co.uk,fundamentallyai.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
193,generativeart.co.uk,generativeart.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
194,helperbean.co.uk,helperbean.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
195,intelligentworkflow.co.uk,intelligentworkflow.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
196,intelligentworkflows.co.uk,intelligentworkflows.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
197,loopengineer.co.uk,loopengineer.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
198,millionagents.co.uk,millionagents.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
199,minihelper.co.uk,minihelper.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
200,minihelpers.co.uk,minihelpers.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
201,neuralnets.co.uk,neuralnets.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
202,questioningmachine.co.uk,questioningmachine.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
203,quickrag.co.uk,quickrag.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
204,vectorstorage.co.uk,vectorstorage.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
205,writesy.co.uk,writesy.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
206,writezy.co.uk,writezy.com,ai-tech,ai,block ai-tech/ai n=132 appraised=4 deficit=0
207,3dartists.co.uk,3dartists.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
208,advertdesign.co.uk,advertdesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
209,artworkers.co.uk,artworkers.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
210,botdesign.co.uk,botdesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
211,clothesdesigns.co.uk,clothesdesigns.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
212,cosmeticsdesign.co.uk,cosmeticsdesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
213,cosmeticsdesigners.co.uk,cosmeticsdesigners.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
214,design-templates.co.uk,design-templates.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
215,designcomps.co.uk,designcomps.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
216,designexample.co.uk,designexample.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
217,designexamples.co.uk,designexamples.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
218,designjournal.co.uk,designjournal.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
219,designmail.co.uk,designmail.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
220,designprofessionals.co.uk,designprofessionals.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
221,designtemplates.co.uk,designtemplates.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
222,illustratedmaps.co.uk,illustratedmaps.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
223,interactivebrochure.co.uk,interactivebrochure.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
224,interactivebrochures.co.uk,interactivebrochures.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
225,jewellerydesigners.co.uk,jewellerydesigners.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
226,landingpagedesign.co.uk,landingpagedesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
227,landingpagedesigns.co.uk,landingpagedesigns.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
228,leopardessdesign.co.uk,leopardessdesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
229,makeupdesigners.co.uk,makeupdesigners.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
230,memecreator.co.uk,memecreator.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
231,memegenerator.co.uk,memegenerator.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
232,mintgraphics.co.uk,mintgraphics.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
233,mobileui.co.uk,mobileui.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
234,mobileux.co.uk,mobileux.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
235,ponddesign.co.uk,ponddesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
236,rebrands.co.uk,rebrands.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
237,shoedesigns.co.uk,shoedesigns.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
238,webpagedesign.org.uk,webpagedesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
239,webpagedesigner.co.uk,webpagedesigner.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
240,webredesign.co.uk,webredesign.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
241,wireframes.co.uk,wireframes.com,web-digital,design,block web-digital/design n=110 appraised=5 deficit=0
242,advertisementdesign.co.uk,advertisementdesign.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
243,advertisingagencies.co.uk,advertisingagencies.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
244,articlesubmission.co.uk,articlesubmission.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
245,brandalignment.co.uk,brandalignment.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
246,contentoutreach.co.uk,contentoutreach.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
247,customerinsights.co.uk,customerinsights.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
