domain,source_file,ns_class
bakkertjes.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
balustradewire.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bancaras.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
banker.co.uk,nominet_domains_2026-09-03.csv,none
banker.uk,nominet_domains_2026-09-03.csv,none
bankingequipment.co.uk,nominet_domains_2026-09-03.csv,none
bankingequipment.uk,nominet_domains_2026-09-03.csv,none
bankmortgagerates.co.uk,nominet_domains_2026-09-03.csv,none
banks-rates.co.uk,nominet_domains_2026-09-03.csv,none
banksavingsrates.co.uk,nominet_domains_2026-09-03.csv,none
banksavingsrates.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
banksrates.co.uk,nominet_domains_2026-09-03.csv,none
bankssavingsrates.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
banneradscreator.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
banquethall.co.uk,nominet_domains_2026-09-03.csv,none
banquetteseating.co.uk,nominet_domains_2026-09-03.csv,none
bargaingadgets.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
barriogotico.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
barwagen.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
basement-conversion.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
basement-conversions.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
basementflat.co.uk,nominet_domains_2026-09-03.csv,none
bathroomcabinet.co.uk,nominet_domains_2026-09-03.csv,none
beadblasters.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
beefrice.co.uk,nominet_domains_2026-09-03.csv,none
beekar.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
beerspoilage.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
bespoke-tailoring.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bespokefiredoors.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bespokemortgages.uk,nominet_domains_2026-09-03.csv,none
bespokevans.co.uk,nominet_domains_2026-09-03.csv,none
bestaccountingfirm.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bestcarjacks.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bestelectricscooter.uk,nominet_domains_2026-09-03.csv,none
bestelectricscooters.uk,nominet_domains_2026-09-03.csv,none
besthealthinsurancerate.co.uk,nominet_domains_2026-09-03.csv,none
besthealthinsurancerate.uk,nominet_domains_2026-09-03.csv,none
besthealthinsurancerates.co.uk,nominet_domains_2026-09-03.csv,none
besthealthinsurancerates.uk,nominet_domains_2026-09-03.csv,none
bestinsurancedeal.co.uk,nominet_domains_2026-09-03.csv,none
bestinsurancedeal.uk,nominet_domains_2026-09-03.csv,none
bestinsurancedeals.co.uk,nominet_domains_2026-09-03.csv,none
bestinsurancedeals.uk,nominet_domains_2026-09-03.csv,none
bestinsurancequote.uk,nominet_domains_2026-09-03.csv,none
bestinsurancequotes.uk,nominet_domains_2026-09-03.csv,none
bestinsurancerate.co.uk,nominet_domains_2026-09-03.csv,none
bestinsurancerate.uk,nominet_domains_2026-09-03.csv,none
bestinsurancerates.co.uk,nominet_domains_2026-09-03.csv,none
bestinsurancerates.uk,nominet_domains_2026-09-03.csv,none
bestlandlordinsurancerate.co.uk,nominet_domains_2026-09-03.csv,none
bestlandlordinsurancerate.uk,nominet_domains_2026-09-03.csv,none
bestlandlordinsurancerates.uk,nominet_domains_2026-09-03.csv,none
bestprivatehealthcare.uk,nominet_domains_2026-09-03.csv,none
bestprivatehealthcareproviders.uk,nominet_domains_2026-09-03.csv,none
bestscooter.uk,nominet_domains_2026-09-03.csv,none
besttoolkits.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bestvet.uk,nominet_domains_2026-09-03.csv,none
bestvets.uk,nominet_domains_2026-09-03.csv,none
bi-fold-door.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bi-fold-doors.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bicicletasplegables.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bicycleholders.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bienenhaltung.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bifold-door.com,porkbun_domains_2026-09-02.csv,other
bigdata.org.uk,nominet_domains_2026-09-03.csv,none
bigdomains.uk,nominet_domains_2026-09-03.csv,none
bigotime.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bigxmas.co.uk,nominet_domains_2026-09-03.csv,none
bikecables.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
billz.uk,nominet_domains_2026-09-03.csv,none
bin-lorries.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
binlorries.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
biphene.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
bitesizejewelry.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
blackskirts.co.uk,nominet_domains_2026-09-03.csv,none
