domain,registrar,category,subcategory,tld,sld_length,expiry,ns_class,dynappraisal,dynappraisal_date,appraisal_kind,appraisal_proxy_domain,live_ask_marketplace,live_ask_price,live_ask_date,afternic_min_offer,afternic_price_source,category_comps_median,keep_override,trademark_flag
flooringstore.uk,nominet,home-garden,building-trades,uk,13,2028-03,,,,,,,,,,,,,
floorprinting.com,dynadot,home-garden,building-trades,com,13,2027-09-17,afternic,2255,2026-09-02,direct,,,,,10000,min_offer,,,
floristsmanchester.co.uk,nominet,consumer-products,gifts,co.uk,18,2027-02,,,,,,,,,50000,min_offer,,,
flubbert.co.uk,nominet,brandable-short,pronounceable,co.uk,8,2028-08,,,,,,,,,10000,min_offer,,,
flubbert.com,porkbun,brandable-short,pronounceable,com,8,2028-08-10,afternic,,,,,,,,30000,min_offer,,,
flubbert.uk,nominet,brandable-short,pronounceable,uk,8,2028-08,,,,,,,,,,,,,
flyerdelivery.uk,nominet,web-digital,marketing,uk,13,2028-10,,,,,,,,,,,,,
flyers.uk,nominet,packaging-print,print-services,uk,6,2028-09,,,,,,,,,10000,min_offer,,,
foldingmachine.co.uk,nominet,industrial-equipment,machinery,co.uk,14,2028-11,,,,,,,,,,,,,
foldingmachine.uk,nominet,industrial-equipment,machinery,uk,14,2027-01,,,,,,,,,,,,,
foldingtricycle.com,spaceship,sports-leisure,cycling,com,15,2027-07-16,atom,,,,,,,,,,,,
foldingtrikes.com,porkbun,sports-leisure,cycling,com,13,2027-06-15,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
food-bowls.com,porkbun,food-drink,general,com,10,2027-06-11,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
foodandwinehampers.com,porkbun,consumer-products,gifts,com,18,2027-07-20,afternic,,,,,,,,30000,min_offer,,,
foodbin.co.uk,nominet,consumer-products,household,co.uk,7,2028-08,,,,,,,,,,,,,
foodgifts.co.uk,nominet,consumer-products,gifts,co.uk,9,2028-05,,,,,,,,,,,,,
foodgrills.com,dynadot,consumer-products,kitchenware,com,10,2027-07-23,afternic,5843,2026-09-02,direct,,,,,10000,min_offer,,,
foodsealers.com,dynadot,food-drink,general,com,11,2027-01-10,afternic,5060,2026-09-02,direct,,,,,10000,min_offer,,,
footballcommentator.co.uk,nominet,sports-leisure,general,co.uk,19,2028-06,,,,,,,,,,,,,
footballscotland.com,porkbun,sports-leisure,general,com,16,2026-11-01,afternic,,,,,,,,50000,min_offer,,,
footballticket.com,porkbun,sports-leisure,tickets,com,14,2031-11-05,none,,,,,,,,,,,,
forblokes.co.uk,nominet,consumer-products,gifts,co.uk,9,2028-03,,,,,,,,,10000,min_offer,,,
foreign-exchange-rate.com,spaceship,financial,foreign-exchange,com,21,2027-06-18,afternic,223,2026-09-03,direct,,,,,,,,,
foreign-exchange-rates.com,spaceship,financial,foreign-exchange,com,22,2027-06-18,afternic,157,2026-09-03,direct,,,,,,,,,
forklaring.com,porkbun,foreign-language,danish,com,10,2027-08-28,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
forklifthire.uk,nominet,industrial-equipment,lifting,uk,12,2028-10,,,,,,,,,,,2000,,
foundationalmodel.com,porkbun,ai-tech,ai,com,17,2027-06-11,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
foundationalmodels.com,porkbun,ai-tech,ai,com,18,2027-06-11,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
fourwheeldrive.co.uk,nominet,automotive,general,co.uk,14,2028-05,,,,,,,,,,,,,
free-credit-report-check.com,dynadot,financial,credit-debt,com,24,2026-11-26,afternic,193,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,5000,,
free-credit-reports.co.uk,nominet,financial,credit-debt,co.uk,19,2028-11,,,,,,,,,,,5000,,
free.me.uk,nominet,brandable-short,4-char,me.uk,4,2028-04,,,,,,,,,50000,min_offer,,,
free.uk,nominet,brandable-short,4-char,uk,4,2030-10,,,,,,,,,,,,,
freelanceuxdesigner.com,porkbun,web-digital,design,com,19,2027-08-10,afternic,,,,,afternic,4999,2026-09-03,,buy_now,1500,,
freelancewebdesign.uk,nominet,web-digital,web,uk,18,2028-03,,,,,,,,,,,1188,,
freetrial.uk,nominet,generic-word,phrase,uk,9,2028-10,,,,,,,,,30000,min_offer,,,
french-door.co.uk,nominet,home-garden,windows-doors,co.uk,11,2030-06,,,,,,,,,,,,,
freshlook.uk,nominet,generic-word,phrase,uk,9,2028-09,,,,,,,,,10000,min_offer,,,
freshwaterpearls.co.uk,nominet,consumer-products,jewellery-watches,co.uk,16,2027-06,,,,,,,,,,,,,
fridge-magnets.co.uk,nominet,consumer-products,gifts,co.uk,14,2027-01,,,,,,,,,10000,min_offer,,,
fridgeorganizer.com,dynadot,consumer-products,household,com,15,2026-11-15,afternic,1202,2026-09-02,direct,,,,,,,,,
frontgarden.uk,nominet,home-garden,garden,uk,11,2028-10,,,,,,,,,,,1000,,
frosted-window.com,porkbun,home-garden,windows-doors,com,14,2027-08-31,afternic,2946,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,1984,,
fullserviceagency.uk,nominet,web-digital,marketing,uk,17,2028-09,,,,,,,,,50000,min_offer,,,
fume-extraction.com,dynadot,industrial-equipment,general,com,15,2027-02-16,atom,6685,2026-09-02,direct,,,,,,,,,
fundamentally-ai.com,porkbun,ai-tech,ai,com,16,2027-07-20,other,,,,,,,,,,,,
fundamentallyai.co.uk,porkbun,ai-tech,ai,co.uk,15,2027-07-20,other,,,,,,,,,,,,
fundamentallyai.com,porkbun,ai-tech,ai,com,15,2027-07-29,cloudflare,,,,,afternic,4999,2026-09-03,,buy_now,,live-site,
fundamentallyai.uk,porkbun,ai-tech,ai,uk,15,2027-07-20,other,,,,,,,,,,,,
funicolare.com,porkbun,foreign-language,italian,com,10,2027-08-21,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
furnishedflats.co.uk,nominet,property,rentals,co.uk,14,2028-01,,,,,,,,,,,,,
fxcalculator.uk,nominet,tools-comparison,general,uk,12,2027-01,,,,,,,,,,,1649,,
ga85.com,porkbun,brandable-short,4-char,com,4,2027-04-14,afternic,,,,,,,,30000,min_offer,,,
gadgetti.com,porkbun,consumer-products,appliances,com,8,2027-06-25,afternic,,,,,,,,12000,min_offer,,,
