domain,registrar,category,subcategory,tld,sld_length,expiry,ns_class,dynappraisal,dynappraisal_date,appraisal_kind,appraisal_proxy_domain,live_ask_marketplace,live_ask_price,live_ask_date,afternic_min_offer,afternic_price_source,category_comps_median,keep_override,trademark_flag
digitalfishfinder.com,dynadot,sports-leisure,fishing,com,17,2026-10-26,afternic,1348,2026-09-02,direct,,,,,10000,min_offer,,,
digitalnomadjobs.co.uk,nominet,business-services,jobs-hire,co.uk,16,2028-06,,,,,,,,,,,,,
digitalrep.co.uk,nominet,ai-tech,ai,co.uk,10,2028-07,,,,,,,,,,,,,
digitalrep.uk,nominet,ai-tech,ai,uk,10,2028-07,,,,,,,,,,,,,
digitalrepresentative.co.uk,nominet,ai-tech,ai,co.uk,21,2028-07,,,,,,,,,,,,,
digitalrepresentative.uk,nominet,ai-tech,ai,uk,21,2028-07,,,,,,,,,,,,,
digitalrepresentatives.co.uk,nominet,ai-tech,ai,co.uk,22,2028-07,,,,,,,,,,,,,
digitalrepresentatives.uk,nominet,ai-tech,ai,uk,22,2028-07,,,,,,,,,,,,,
digitalreps.uk,nominet,ai-tech,ai,uk,11,2028-07,,,,,,,,,,,,,
digitalstationery.uk,nominet,web-digital,design,uk,17,2028-09,,,,,,,,,10000,min_offer,,,
dingos.co.uk,nominet,generic-word,general,co.uk,6,2028-02,,,,,,,,,50000,min_offer,,,
diningtableandchairs.uk,nominet,home-garden,furnishings,uk,20,2028-09,,,,,,,,,10000,min_offer,,,
discountfurniture.uk,nominet,home-garden,furnishings,uk,17,2028-05,,,,,,,,,,,,,
discountmailing.com,dynadot,consumer-products,retail,com,15,2026-10-30,afternic,4014,2026-09-02,direct,,,,,10000,min_offer,,,
discover-bugs.com,porkbun,ai-tech,software,com,13,2027-06-11,other,,,,,,,,,,,,
discoverbugs.com,porkbun,ai-tech,software,com,12,2027-06-11,other,,,,,,,,,,,,
disguises.co.uk,nominet,consumer-products,gifts,co.uk,9,2028-12,,,,,,,,,,,,,
dishcloths.co.uk,nominet,consumer-products,household,co.uk,10,2028-10,,,,,,,,,,,,,
distinguida.com,dynadot,foreign-language,spanish,com,11,2026-11-22,afternic,1098,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,
dividends.co.uk,nominet,financial,investing,co.uk,9,2029-08,,,,,,,,,50000,min_offer,,,
divots.co.uk,nominet,sports-leisure,golf,co.uk,6,2027-01,,,,,,,,,,,,,
diycentre.co.uk,nominet,home-garden,tools-diy,co.uk,9,2028-10,,,,,,,,,,,,,
dmns.co.uk,nominet,brandable-short,4-char,co.uk,4,2028-11,,,,,,,,,,,,,
dmns.uk,nominet,brandable-short,4-char,uk,4,2028-11,,,,,,,,,30000,min_offer,,,
documentanalyser.com,porkbun,ai-tech,ai,com,16,2027-06-11,other,,,,,,,,,,,,
documentintrospection.com,porkbun,ai-tech,ai,com,21,2027-06-11,other,,,,,,,,,,,,
dog-blanket.com,porkbun,pets-vet,general,com,11,2027-06-14,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
dog-blankets.com,porkbun,pets-vet,general,com,12,2027-06-14,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
dog-life-jackets.com,spaceship,pets-vet,general,com,16,2027-08-04,afternic,,,,,,,,,,,,
doggydna.co.uk,nominet,pets-vet,general,co.uk,8,2028-11,,,,,,,,,,,,,
dogramp.co.uk,nominet,pets-vet,general,co.uk,7,2028-10,,,,,,,,,50000,min_offer,,,
dogramp.uk,nominet,pets-vet,general,uk,7,2027-10,,,,,,,,,10000,min_offer,,,
dogramps.uk,nominet,pets-vet,general,uk,8,2027-10,,,,,,,,,10000,min_offer,,,
donkeyjackets.co.uk,nominet,consumer-products,clothing-fashion,co.uk,13,2028-02,,,,,,,,,10000,min_offer,,,
door-knobs.com,dynadot,home-garden,windows-doors,com,10,2027-04-08,atom,2960,2026-09-02,direct,,,,,,,,,
door-thresholds.co.uk,nominet,home-garden,windows-doors,co.uk,15,2028-11,,,,,,,,,,,,,
dorpje.com,porkbun,foreign-language,dutch,com,6,2027-08-21,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
dorsetlodges.com,porkbun,travel,accommodation,com,12,2027-11-09,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
drainclearance.com,dynadot,home-garden,heating-plumbing,com,14,2027-08-09,afternic,2193,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,,,
draught-excluders.com,spaceship,home-garden,energy,com,17,2027-06-18,afternic,654,2026-09-03,direct,,,,,,,,,
draughtexclusion.com,spaceship,home-garden,energy,com,16,2027-06-18,afternic,1310,2026-09-03,direct,,,,,,,,,
dreamholidayvillas.com,dynadot,travel,general,com,18,2027-01-29,afternic,1376,2026-09-02,direct,,,,,10000,min_offer,5000,,
dreiraeder.com,porkbun,sports-leisure,cycling,com,10,2028-06-02,afternic,,,,,,,,10000,min_offer,,,
dressoirs.com,porkbun,home-garden,furnishings,com,9,2027-12-17,other,5580,2026-09-03,direct,,,,,,,,,
driewielfiets.com,porkbun,sports-leisure,cycling,com,13,2027-08-09,afternic,,,,,,,,12000,min_offer,,,
drill-presses.com,spaceship,home-garden,tools-diy,com,13,2027-08-04,afternic,863,2026-09-03,direct,,,,,,,,,
drillingrig.co.uk,nominet,industrial-equipment,construction-plant,co.uk,11,2028-11,,,,,,,,,,,,,
driveway-grids.com,porkbun,home-garden,driveways-ground,com,14,2026-12-09,afternic,2223,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
drivewaygrids.com,porkbun,home-garden,driveways-ground,com,13,2026-12-09,afternic,2749,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
drone-footage.com,porkbun,web-digital,design,com,13,2028-03-22,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
drone-maintenance.com,porkbun,home-garden,services,com,17,2027-06-09,other,681,2026-09-03,direct,,,,,,,,,
droneroofsurvey.com,porkbun,home-garden,services,com,15,2027-06-16,afternic,715,2026-09-03,direct,,,,,12000,min_offer,,,
droppedkerbs.co.uk,nominet,home-garden,driveways-ground,co.uk,12,2028-12,,,,,,,,,,,,,
drumliners.co.uk,nominet,packaging-print,packaging,co.uk,10,2028-06,,,,,,,,,,,,,
dryingroom.com,dynadot,industrial-equipment,general,com,10,2026-12-19,afternic,2812,2026-09-02,direct,,,,,10000,min_offer,,,
drymilling.com,dynadot,industrial-equipment,machinery,com,10,2026-11-09,afternic,1614,2026-09-02,direct,,,,,10000,min_offer,,,
dsgn.co.uk,nominet,brandable-short,4-char,co.uk,4,2028-04,,,,,,,,,,,,,
dsgnr.uk,nominet,web-digital,design,uk,5,2028-11,,,,,,,,,,,,,
dubaiplacement.com,dynadot,business-services,jobs-hire,com,14,2027-01-20,afternic,2562,2026-09-02,direct,,,,,,,,,
dubaiwebsitedeveloper.com,dynadot,web-digital,web,com,21,2026-12-16,afternic,1306,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,1935,,
dumptruckinsurancedeals.com,dynadot,financial,insurance,com,23,2026-10-15,afternic,1465,2026-09-02,direct,,,,,10000,min_offer,2800,,
duplexes.co.uk,nominet,property,general,co.uk,8,2027-01,,,,,,,,,,,,,
duplicates.co.uk,nominet,generic-word,general,co.uk,10,2028-11,,,,,,,,,,,,,
duurzaamenergie.com,porkbun,energy-utilities,renewables,com,15,2027-10-04,other,,,,,,,,,,,,
dynamic-balancing.com,spaceship,industrial-equipment,test-measurement,com,17,2027-04-24,atom,,,,,,,,,,,,
dyspeptic.com,dynadot,generic-word,general,com,9,2026-11-14,afternic,2402,2026-09-02,direct,,,,,10000,min_offer,,,
e-vehicleinsurance.uk,nominet,financial,insurance,uk,18,2028-10,,,,,,,,,,,2800,,
easterpresents.co.uk,nominet,consumer-products,gifts,co.uk,14,2028-04,,,,,,,,,,,,,
easycare.uk,nominet,health-medical,care,uk,8,2028-12,,,,,,,,,50000,min_offer,,,
easypedestal.com,dynadot,home-garden,building-trades,com,12,2026-11-24,afternic,2664,2026-09-02,direct,,,,,12000,min_offer,,,
easyrag.co.uk,nominet,ai-tech,ai,co.uk,7,2027-07,,,,,,,,,,,,,
easyrag.uk,nominet,ai-tech,ai,uk,7,2027-07,,,,,,,,,,,,,
ebarometer.com,porkbun,web-digital,web,com,10,2027-08-14,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
eborg.uk,nominet,brandable-short,pronounceable,uk,5,2028-03,,,,,,,,,,,,,
ecocampervans.com,dynadot,automotive,leisure-vehicles,com,13,2027-08-05,other,315,2026-09-02,direct,,,,,,,,,
ecoheaters.com,dynadot,home-garden,heating-plumbing,com,10,2027-08-25,afternic,14067,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,,,
edderkopp.com,porkbun,foreign-language,norwegian,com,9,2027-10-06,other,,,,,,,,,,,,
edge-trimmer.com,spaceship,home-garden,garden,com,12,2027-06-18,afternic,1794,2026-09-03,direct,,,,,,,,,
edge-trimmers.com,spaceship,home-garden,garden,com,13,2027-06-18,afternic,1006,2026-09-03,direct,,,,,,,,,
edibly.uk,nominet,food-drink,general,uk,6,2027-01,,,,,,,,,,,,,
editorialista.com,porkbun,foreign-language,spanish,com,13,2027-10-05,other,,,,,,,,,,,,
editorialplacement.uk,nominet,web-digital,marketing,uk,18,2027-10,,,,,,,,,,,,,
eetz.com,porkbun,brandable-short,4-char,com,4,2026-10-24,afternic,,,,,afternic,180000,2026-09-03,,buy_now,,,
effectiveness.uk,dynadot,generic-word,general,uk,13,2027-06-14,afternic,3576,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,,,
egret.co.uk,nominet,generic-word,general,co.uk,5,2028-11,,,,,,,,,,,,,
ehrung.com,porkbun,foreign-language,german,com,6,2027-10-05,afternic,,,,,,,,10000,min_offer,,,
ejerleder.com,porkbun,business-services,general,com,9,2027-12-30,none,,,,,,,,,,,,
ekcema.com,dynadot,health-medical,general,com,6,2026-10-27,afternic,318,2026-09-02,direct,,,,,10000,min_offer,,,
electric-suv.com,spaceship,automotive,general,com,12,2027-07-16,afternic,,,,,,,,,,,,
electric-suvs.com,spaceship,automotive,general,com,13,2027-07-16,afternic,,,,,,,,,,,,
electricalgoods.co.uk,nominet,consumer-products,appliances,co.uk,15,2028-05,,,,,,,,,,,,,
electriccarchargingpoints.com,spaceship,home-garden,energy,com,25,2026-09-10,atom,1178,2026-09-03,direct,,,,,,,,,
electricforklifts.uk,nominet,industrial-equipment,lifting,uk,17,2028-05,,,,,,,,,,,,,
electriclongboards.uk,nominet,consumer-products,electronics,uk,18,2028-11,,,,,,,,,,,,,
electricvehiclerentals.co.uk,nominet,automotive,general,co.uk,22,2028-01,,,,,,,,,,,,,
email-account.co.uk,nominet,business-services,accounting,co.uk,13,2028-05,,,,,,,,,,,,,
email-account.uk,nominet,business-services,accounting,uk,13,2028-05,,,,,,,,,,,,,
emailsecurity.uk,nominet,ai-tech,software,uk,13,2028-10,,,,,,,,,10000,min_offer,,,
embrocate.com,dynadot,generic-word,general,com,9,2026-11-28,afternic,14606,2026-09-02,direct,,,,,12000,min_offer,,,
emplacar.com,dynadot,foreign-language,portuguese,com,8,2026-09-21,afternic,5011,2026-09-02,direct,,,,,10000,min_offer,,,
empower-group.com,porkbun,business-services,general,com,13,2027-06-25,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
enablers.co.uk,nominet,generic-word,general,co.uk,8,2028-11,,,,,,,,,,,,,
enables.co.uk,NOT-OWNED-elsewhere,generic-word,general,co.uk,7,,,,,,,,,,50000,min_offer,,,
endangered.uk,nominet,generic-word,general,uk,10,2028-10,,,,,,,,,,,,,
energietransport.com,porkbun,sports-leisure,general,com,16,2027-08-05,afternic,,,,,afternic,4999,2026-09-03,,buy_now,,,
engaru.com,porkbun,names-places,geographic,com,6,2028-01-04,other,,,,,,,,,,,,
engine-lease.com,porkbun,aviation,leasing,com,12,2027-09-21,afternic,,,,,afternic,25000,2026-09-03,,buy_now,2613,,
engineering-audit.com,porkbun,business-services,audits,com,17,2026-12-11,afternic,,,,,,,,10000,min_offer,2495,,
enterpriseapplications.uk,nominet,business-services,general,uk,22,2028-10,,,,,,,,,,,,,
enterpriseaudit.uk,nominet,business-services,general,uk,15,2028-06,,,,,,,,,,,2495,,
enterpriseauditing.com,porkbun,business-services,general,com,18,2027-06-10,afternic,,,,,afternic,4999,2026-09-03,,buy_now,2495,,
enterpriseaudits.uk,nominet,business-services,general,uk,16,2028-06,,,,,,,,,,,2495,,
epdmrubberroofs.com,porkbun,home-garden,building-trades,com,15,2027-07-02,afternic,702,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
eqpt.co.uk,nominet,brandable-short,4-char,co.uk,4,2028-06,,,,,,,,,10000,min_offer,,,
eqpt.uk,nominet,brandable-short,4-char,uk,4,2028-10,,,,,,,,,10000,min_offer,,,
equestres.com,dynadot,sports-leisure,equestrian,com,9,2026-10-15,afternic,1613,2026-09-02,direct,,,,,,,,,
equity-release-calculator.co.uk,nominet,financial,investing,co.uk,25,2028-11,,,,,,,,,,,2500,,
equitycalculator.co.uk,nominet,tools-comparison,general,co.uk,16,2027-01,,,,,,,,,12000,min_offer,1649,,
equityreleasecalculator.co.uk,nominet,tools-comparison,general,co.uk,23,2028-11,,,,,,,,,,,2500,,
erdanker.com,porkbun,home-garden,building-trades,com,8,2027-08-03,afternic,3496,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
escooterreviews.uk,nominet,tools-comparison,general,uk,15,2028-10,,,,,,,,,,,,,
espines.com,dynadot,foreign-language,catalan,com,7,2027-01-13,afternic,4411,2026-09-02,direct,,,,,10000,min_offer,,,
evalloops.co.uk,nominet,ai-tech,ai,co.uk,9,2027-07,,,,,,,,,,,,,
evalloops.uk,nominet,ai-tech,ai,uk,9,2027-07,,,,,,,,,,,,,
evaluating.uk,nominet,generic-word,general,uk,10,2027-06,,,,,,,,,,,,,
evaluator.uk,nominet,generic-word,general,uk,9,2028-11,,,,,,,,,,,,,
evaporative-cooling.com,porkbun,home-garden,heating-plumbing,com,19,2028-03-29,afternic,369,2026-09-03,direct,,,,,12000,min_offer,,,
evehicleinsurance.uk,nominet,financial,insurance,uk,17,2028-10,,,,,,,,,,,2800,,
eventparkingmats.com,porkbun,home-garden,driveways-ground,com,16,2026-12-09,afternic,1040,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,888,,
excavador.com,porkbun,industrial-equipment,construction-plant,com,9,2027-08-22,afternic,,,,,,,,12000,min_offer,,,
excavatorlease.com,porkbun,industrial-equipment,construction-plant,com,14,2027-09-21,afternic,,,,,afternic,4999,2026-09-03,,buy_now,2613,,
exchangemonies.com,spaceship,financial,foreign-exchange,com,14,2027-06-18,afternic,3244,2026-09-03,direct,,,,,,,,,
executive-saloon.com,spaceship,automotive,general,com,16,2027-07-14,afternic,,,,,,,,,,,,
executive-saloons.com,spaceship,automotive,general,com,17,2027-07-16,afternic,,,,,,,,,,,,
executivepersonas.com,spaceship,ai-tech,ai,com,17,2027-07-16,afternic,,,,,,,,,,,,
executivesaloon.com,spaceship,automotive,general,com,15,2027-07-14,afternic,,,,,,,,,,,,
exhibition-display.com,dynadot,events-exhibitions,displays,com,18,2027-03-08,atom,1324,2026-09-02,direct,,,,,,,10000,,
exhibitionbooths.co.uk,nominet,events-exhibitions,displays,co.uk,16,2028-12,,,,,,,,,,,10000,,
exhibitiontablecloths.com,porkbun,events-exhibitions,displays,com,21,2027-07-14,afternic,,,,,,,,12000,min_offer,10000,,
expensiveholidays.co.uk,nominet,travel,general,co.uk,17,2027-10,,,,,,,,,,,,,
expensivepresents.co.uk,nominet,consumer-products,gifts,co.uk,17,2028-10,,,,,,,,,,,,,
exploretobago.com,dynadot,travel,general,com,13,2026-12-18,afternic,457,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,
extension-plans.co.uk,nominet,home-garden,kitchens-extensions,co.uk,15,2028-02,,,,,,,,,,,,,
extensioncostcalculator.com,spaceship,tools-comparison,general,com,23,2027-02-19,atom,,,,,,,,,,1649,,
exterior-cleaning.com,dynadot,home-garden,services,com,17,2027-11-05,atom,2534,2026-09-02,direct,,,,,,,580,,
exterior-doors.co.uk,nominet,home-garden,windows-doors,co.uk,14,2028-07,,,,,,,,,,,,,
exteriorbuildingcleaning.co.uk,nominet,home-garden,services,co.uk,24,2028-05,,,,,,,,,,,580,,
exteriordoors.uk,nominet,home-garden,windows-doors,uk,13,2028-07,,,,,,,,,,,,,
external-door.com,porkbun,home-garden,windows-doors,com,13,2028-03-13,afternic,855,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
externalcladding.co.uk,nominet,home-garden,building-trades,co.uk,16,2028-09,,,,,,,,,,,,,
extraboxes.com,dynadot,packaging-print,packaging,com,10,2026-12-14,afternic,4960,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,
eyelinerbrushes.com,dynadot,beauty-personal-care,cosmetics,com,15,2026-10-26,afternic,891,2026-09-02,direct,,,,,10000,min_offer,,,
eyesight.org.uk,nominet,health-medical,general,org.uk,8,2028-04,,,,,,,,,50000,min_offer,,,
facaderemediation.com,porkbun,home-garden,building-trades,com,17,2027-06-20,afternic,415,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
facepack.co.uk,nominet,beauty-personal-care,skincare,co.uk,8,2028-11,,,,,,,,,,,,,
fahrausweis.com,porkbun,foreign-language,german,com,11,2027-11-26,other,,,,,,,,,,,,
fallingwaterdesignbuild.com,dynadot,web-digital,design,com,23,2026-12-15,afternic,134,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,1500,,
familyarchive.uk,nominet,misc,general,uk,13,2028-10,,,,,,,,,10000,min_offer,,,
familyestateplans.com,dynadot,property,general,com,17,2026-10-30,afternic,1419,2026-09-02,direct,,,,,10000,min_offer,,,
familyhealthcare.uk,nominet,health-medical,general,uk,16,2028-09,,,,,,,,,50000,min_offer,2000,,
familyhealthinsurancequote.co.uk,nominet,financial,insurance,co.uk,26,2028-10,,,,,,,,,10000,min_offer,2499,,
familyhealthinsurancequote.uk,nominet,financial,insurance,uk,26,2027-10,,,,,,,,,10000,min_offer,2499,,
familyvet.uk,nominet,pets-vet,general,uk,9,2029-09,,,,,,,,,,,,,
farmequipmentlease.com,porkbun,agriculture-farming,equipment,com,18,2027-09-21,afternic,,,,,afternic,4999,2026-09-03,,buy_now,2613,,
farmerinsurance.uk,nominet,financial,insurance,uk,15,2028-10,,,,,,,,,,,2800,,
farmingsensor.com,dynadot,agriculture-farming,equipment,com,13,2027-01-14,afternic,2745,2026-09-02,direct,,,,,10000,min_offer,1299,,
farmmachinery.uk,nominet,agriculture-farming,equipment,uk,13,2027-01,,,,,,,,,50000,min_offer,,,
farmsblog.com,dynadot,agriculture-farming,farming,com,9,2027-07-11,afternic,6967,2026-09-02,direct,,,,,10000,min_offer,,,
fashionagents.co.uk,nominet,ai-tech,ai,co.uk,13,2028-06,,,,,,,,,,,2699,,
fashionphotography.uk,nominet,web-digital,photography,uk,18,2027-01,,,,,,,,,,,,,
fastbridging.com,porkbun,financial,loans,com,12,2027-08-14,afternic,890,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
fatherchristmas.uk,nominet,consumer-products,gifts,uk,15,2028-09,,,,,,,,,10000,min_offer,,,
fatz.uk,nominet,brandable-short,4-char,uk,4,2028-07,,,,,,,,,10000,min_offer,,,
fees.co.uk,nominet,brandable-short,4-char,co.uk,4,2028-09,,,,,,,,,50000,min_offer,,,
feinstes.com,porkbun,foreign-language,german,com,8,2027-08-17,afternic,,,,,afternic,30000,2026-09-03,,buy_now,,,
felines.co.uk,nominet,pets-vet,general,co.uk,7,2027-11,,,,,,,,,,,,,
felines.uk,nominet,pets-vet,general,uk,7,2027-11,,,,,,,,,,,,,
fencing-wire.com,spaceship,home-garden,garden,com,12,2027-06-18,afternic,2698,2026-09-03,direct,,,,,,,,,
fertilizerdispensers.com,dynadot,agriculture-farming,equipment,com,20,2026-11-28,afternic,2183,2026-09-02,direct,,,,,12000,min_offer,,,
festivepresents.co.uk,nominet,consumer-products,gifts,co.uk,15,2027-01,,,,,,,,,10000,min_offer,,,
festivepresents.com,porkbun,consumer-products,gifts,com,15,2026-12-22,afternic,,,,,,,,10000,min_offer,,,
filletingknives.com,dynadot,consumer-products,kitchenware,com,15,2027-07-25,atom,2508,2026-09-02,direct,,,,,,,,,
finance-analyst.com,dynadot,financial,general,com,15,2027-07-03,afternic,1420,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,2297,,
finance.org.uk,nominet,financial,general,org.uk,7,2028-09,,,,,,,,,50000,min_offer,2297,,
financeforcompanies.co.uk,nominet,business-services,general,co.uk,19,2027-10,,,,,,,,,10000,min_offer,2297,,
financeradio.com,porkbun,financial,general,com,12,2027-06-16,afternic,2601,2026-09-03,direct,,,,,10000,min_offer,2297,,
financerepairs.com,dynadot,financial,general,com,14,2026-12-16,afternic,2439,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,2297,,
financial-adviser.uk,dynadot,financial,general,uk,17,2027-07-07,afternic,633,2026-09-02,direct,,,,,10000,min_offer,,,
financialrestart.com,dynadot,financial,general,com,16,2026-12-18,afternic,536,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,
financiert.com,porkbun,financial,general,com,10,2027-08-30,afternic,4207,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
finanzblatt.com,dynadot,financial,general,com,11,2027-06-25,afternic,919,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,
findinsurersonline.com,dynadot,financial,insurance,com,18,2026-10-18,afternic,1345,2026-09-02,direct,,,,,10000,min_offer,,,
fine-chocolate.com,porkbun,food-drink,general,com,14,2026-11-25,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
fine-chocolates.com,porkbun,food-drink,general,com,15,2026-11-25,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
fineartistbrushes.com,dynadot,consumer-products,art-craft,com,17,2027-08-22,afternic,985,2026-09-02,direct,,,,,10000,min_offer,,,
finetuning.uk,nominet,ai-tech,ai,uk,10,2027-01,,,,,,,,,,,,,
fingerlessgloves.co.uk,nominet,consumer-products,clothing-fashion,co.uk,16,2028-06,,,,,,,,,10000,min_offer,,,
fire-equipment.com,porkbun,industrial-equipment,safety,com,14,2028-02-17,afternic,,,,,afternic,25000,2026-09-03,,buy_now,2995,,
fire-extinguisher.com,dynadot,industrial-equipment,safety,com,17,2027-04-29,atom,2302,2026-09-02,direct,,,,,,,,,
fire-protection.co.uk,nominet,industrial-equipment,safety,co.uk,15,2028-09,,,,,,,,,,,,,
fishchips.uk,nominet,food-drink,general,uk,9,2028-04,,,,,,,,,,,,,
fishhook.uk,nominet,sports-leisure,fishing,uk,8,2028-11,,,,,,,,,30000,min_offer,,,
fishingcharters.uk,nominet,sports-leisure,general,uk,15,2028-01,,,,,,,,,,,,,
fishingtackle.org.uk,nominet,sports-leisure,general,org.uk,13,2028-04,,,,,,,,,10000,min_offer,,,
fishingtackleonline.uk,nominet,sports-leisure,general,uk,19,2028-09,,,,,,,,,10000,min_offer,,,
fitness-bands.com,porkbun,sports-leisure,general,com,13,2027-06-08,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
fitness-trackers.com,porkbun,sports-leisure,general,com,16,2026-11-25,afternic,,,,,afternic,25000,2026-09-03,,buy_now,,,
fitness-videos.co.uk,nominet,sports-leisure,general,co.uk,14,2028-04,,,,,,,,,50000,min_offer,,,
fitted-kitchen.com,porkbun,home-garden,kitchens-extensions,com,14,2027-08-31,afternic,3286,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,888,,
fitted-wardrobes.co.uk,nominet,home-garden,furnishings,co.uk,16,2027-07,,,,,,,,,,,,,
fitted-wardrobes.com,porkbun,home-garden,furnishings,com,16,2028-04-02,afternic,4339,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
fivergigs.co.uk,nominet,business-services,jobs-hire,co.uk,9,2028-08,,,,,,,,,10000,min_offer,,,
fix-boiler.com,porkbun,home-garden,heating-plumbing,com,10,2026-11-05,afternic,4970,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,1499,,
fixedinterestmortgagerates.co.uk,nominet,financial,mortgages,co.uk,26,2028-09,,,,,,,,,10000,min_offer,2000,,
fixedmortgagerates.co.uk,nominet,financial,mortgages,co.uk,18,2028-09,,,,,,,,,10000,min_offer,2000,,
fixedtermloan.com,porkbun,financial,loans,com,13,2027-09-05,afternic,1741,2026-09-03,direct,,,,,30000,min_offer,1805,,
fixedtermloans.com,porkbun,financial,loans,com,14,2027-09-05,afternic,1904,2026-09-03,direct,,,,,30000,min_offer,1805,,
fixedtermmortgages.com,porkbun,financial,mortgages,com,18,2027-09-05,afternic,1581,2026-09-03,direct,,,,,30000,min_offer,2000,,
flat-for-rent.co.uk,nominet,property,rentals,co.uk,13,2028-03,,,,,,,,,50000,min_offer,,,
flat-search.com,porkbun,property,rentals,com,11,2027-07-22,afternic,,,,,,,,10000,min_offer,,,
flatprices.co.uk,nominet,property,general,co.uk,10,2028-02,,,,,,,,,50000,min_offer,,,
flechados.com,dynadot,foreign-language,spanish,com,9,2026-10-23,afternic,1104,2026-09-02,direct,,,,,,,,,
fleetcarleasing.co.uk,nominet,automotive,leasing,co.uk,15,2027-10,,,,,,,,,,,1737,,
fleetcarleasing.com,spaceship,automotive,leasing,com,15,2026-10-09,atom,,,,,,,,,,1737,,
fleetfinancing.co.uk,nominet,financial,general,co.uk,14,2028-04,,,,,,,,,10000,min_offer,,,
flights.vin,porkbun,travel,general,vin,7,2027-02-04,afternic,,,,,,,,10000,min_offer,,,
floatinglodges.co.uk,nominet,travel,accommodation,co.uk,14,2028-03,,,,,,,,,,,,,
floatingpontoons.com,spaceship,marine,equipment,com,16,2026-09-12,atom,,,,,,,,,,,,
flood-door.com,porkbun,home-garden,windows-doors,com,10,2027-06-12,afternic,2756,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
floodmodelling.com,porkbun,business-services,engineering,com,14,2027-09-28,other,,,,,,,,,,,,
floor-safety.co.uk,nominet,home-garden,building-trades,co.uk,12,2028-02,,,,,,,,,,,,,
floorchemicals.com,dynadot,home-garden,building-trades,com,14,2026-10-23,afternic,1074,2026-09-02,direct,,,,,10000,min_offer,,,
flooring-tiles.com,porkbun,home-garden,building-trades,com,14,2027-08-10,afternic,2175,2026-09-03,direct,,afternic,4999,2026-09-03,,buy_now,,,
